,text
0,"Today and every day, let us recommit ourselves to making certain that we never forget the Armenian Genocide, and that we always speak out against hatred and atrocities anywhere they occur. https://t.co/QCGzxkRuud"
1,"“In the first 10 months of their availability, COVID-19 vaccines prevented an estimated 1.5 million coronavirus infections, nearly 73,000 hospitalizations, and almost 20,000 deaths in California.” https://t.co/cf9OoE0nAP"
2,"Let me get this straight. 

Desantis’ Disney/Don’t Say Gay retaliation bill could increase a million Floridians' property tax bill by 25%.
 
But go ahead and keep telling us about “fiscal responsibility” &amp; your “business-friendly climate.” https://t.co/U7ACTMGJ6y"
3,"Happy Earth Day!

CA is on the frontlines of the climate crisis &amp; we aren’t standing by.

We are:
-investing more than any state to fight it
-reducing pollution
-becoming less reliant on oil
-innovating the clean energy economy &amp; more

Let’s all do our part to save the planet.🌎"
4,Tune in now! https://t.co/YYxhXJTqDJ
5,"California is taking on vaccine misinformation &amp; disinformation.

We are the first state to launch a chatbot in WhatsApp for reliable vaccine and COVID info - in Spanish &amp; English.

Hit up our 🤖:  text “hola” to 833-422-1090 in the app."
6,"THIS is what “business friendly” means? 🤔

We protect free speech in California. We help our businesses grow, thrive, and invent the future.

Punishing businesses for speaking out against hatred is the move of an authoritarian regime. https://t.co/dACO1jL5PC"
7,"In California, a clean energy economy isn’t some time far off in the future. 

We are doing it today. https://t.co/qTh5YwlxhN"
8,"Happy Easter, California! As we celebrate rebirth and gather with loved ones, let us be filled with hope and joy."
9,Wishing everyone joy and blessings at Passover tonight and throughout the year! Chag Sameach!
10,California companies doing the right thing. 👏 https://t.co/zXdYN9WtQa
11,"Now law in Oklahoma:

- A woman who is a victim of rape or incest must give birth to a child.

- Doctors performing reproductive care should be bounty-hunted.

Shameful. https://t.co/HbEi6Qm4KQ"
12,"Alabama is following the lead of Texas and Florida and creating hateful laws that will cause harm to kids. 

LGBTQ kids already experience excess trauma and increased suicide risk.

Laws like this will make those problems worse. https://t.co/HyIE8geKoe"
13,"RT @CBSNews: ""My family went from segregation to the Supreme Court in one generation,"" Judge Ketanji Brown Jackson says at the White House.…"
14,"Ketanji Brown Jackson has just made history. Our country will be a better place with her on the high court. 

Congratulations future Supreme Court Justice Jackson! 👏 https://t.co/GYz61fsnDB"
15,"Climate change isn’t waiting for anyone. 

California leads the world in turning our resolve into real climate action - more than most other NATIONS - not just states. 

But we can’t do it alone. The rest of the world needs to catch up. https://t.co/fAkGa83K87"
16,"Yet another mass casualty shooting - leaving families with lost loved ones, people injured, and a community in grief. 

We are working closely with law enforcement to monitor the situation. 

We cannot continue to let gun violence be the new normal. https://t.co/W2GIPnQJwM"
17,"It’s #TransDayOfVisibility. 

I am in awe of California’s Trans &amp; non-binary residents - their courage, their achievements and contributions. 

California will never back down in defending Trans rights and celebrating our LGBTQ community."
18,"RT @CAgovernor: This #CesarChavezDay, we celebrate César Chávez’s hard-won strides for social justice &amp; reflect on the work that lies ahead…"
19,Reading some banned books to figure out what these states are so afraid of. https://t.co/z6eJ01NZJe
20,"Hey Disney - 

We here in California respect your employees’ families.

We think our LGBTQ residents are part of what makes our state great.

Let’s talk.
https://t.co/C7QzkiEXWg"
21,"This bill was born out of a LIE - that people “become gay” by talking about it.

But the harm it will cause LGBTQ kids is all too real.

Hurting children isn’t just un-American - it’s monstrous.
https://t.co/AKA7wdHaAb"
22,Tune in now! https://t.co/0NX4Vm1HQi
23,"A champion of democracy and equality,  Madeleine Albright leaves behind a legacy most people can only dream of.

She will be missed."
24,"NEW: we’re proposing $11 BILLION in relief, including a $9 billion tax refund for rising gas prices.

- $400 per registered car 
- 3 months of free public transit
https://t.co/XsAn0kuokP"
25,"KBJ shows how to shut down the playground bully. 

All class. https://t.co/T2xfYu8KNp"
26,"RT @JenSiebelNewsom: In the face of nationwide attacks on reproductive rights, CA has taken action to improve access to reproductive care b…"
27,"THIS IS NOT OK! 

You are a U.S. Senator. Act like one. https://t.co/W5uL7ng6lA"
28,"Disney employees are doing the right thing today -- standing up for their LGBTQ colleagues against the Florida GOP's hateful attacks.

California stands with them. https://t.co/ycQArLQVdo"
29,Just watched this again. Thank you @Schwarzenegger. https://t.co/zkjW0RjrRu
30,"Fighting crime means taking on illegal guns. 

Glad to stand with @RobBonta in this race. https://t.co/I3Ieu4T1a2"
31,"Nowruz Mubarak!

In the spirit of the holiday, let us move forward together and celebrate this new beginning.
https://t.co/tpCt23pcxQ"
32,Happy Birthday Willie Brown! https://t.co/524T6zGacs
33,"RT @JenSiebelNewsom: 👏to Match Group CEO @Shar_Dubey, @Bumble CEO @WhitWolfeHerd, and @Citigroup CEO Jane Fraser for taking a stand against…"
34,"Today, we remember the 8 people - including 6 AAPI women - who were murdered in cold blood in Atlanta 1 year ago. 

Horrifying acts of anti-Asian sentiment still occur every day.

I proudly stand with our AAPI communities.

We must stop Asian hate."
35,"This is the right thing to do. 

We need more of this from corporate America.
https://t.co/on91Naz0eP"
36,"The @GOP definition of “freedom:” 

- Banning books 
- Restricting speech in class
- Criminalizing parents of LGBTQ kids

And now, proposing the DEATH PENALTY for women who seek abortions. https://t.co/teFg4BKEf9"
37,"Disney, the door is open to bring those jobs back to California - the state that actually represents the values of your workers. https://t.co/kbCi7Zgs90"
38,"Watch this.

45 years ago, far-right activists in CA pushed a homophobic ballot measure that sought to fire teachers for, essentially, “saying gay.”

Voters defeated it soundly. Reagan denounced it.

Have FL &amp; TX learned nothing over the last half century? https://t.co/35NrYuEm5J"
39,"Nearly HALF of the companies on this list are CA companies. 

Thank you for standing up for California values and LGBTQ kids. 
https://t.co/fZLqtsqXod"
40,What could go wrong? https://t.co/FZFW5N9yMP
41,👏👏👏 https://t.co/MYzuux7hkl
42,"RT @CAgovernor: The California Way means rejecting old binaries and finding new solutions to big problems.

We are doing what we have done…"
43,"California is undaunted and undefeated in the fight for a zero-emission future. 

Thank you @POTUS for putting the federal government officially back on the side of clean air and healthy lungs. https://t.co/zuhyGxTkTX"
44,"In the midst of turmoil, California is creating a roadmap.

Embracing diversity while seeking common ground.

Unifying  – not exploiting divisions.

Inviting everyone in the fight for a better state.

That's the California Way."
45,"California leads on climate policy - and others have followed.

We need to be fighting polluters, not bolstering them.

We can be free from the grasp of petro-dictators once and for all."
46,"New tonight -- 

I'll be working with legislative leaders on a proposal to put money back in Californians’ pockets to help with rising gas prices. 

Let’s make it happen."
47,"CA raised the minimum wage.
 
We increased paid sick leave.
 
Provided more paid family leave.
 
Expanded child care.
 
And this year, we will be the first state to provide health for all, regardless of immigration status.
 
That’s the California Way."
48,"On the economy, CA is unmatched.
   
1 million new jobs in 12 months.

More new business starts during the worst of the pandemic than TX &amp; FL combined.

But you know what makes us different?
 
As our businesses grow, we don't leave our workers behind."
49,"Authoritarian impulses aren’t just overseas. They are echoing here at home - stoking fear to divide us.

Loud voices seeking to weaken democracy, scapegoat minorities, conjure conspiracies, exploit anger.

We must prove there’s a better way - a California Way forward."
50,"California does democracy like nowhere else in the world. 

No other place offers opportunity to so many from such diverse backgrounds. 

But we cannot take our democracy for granted."
51,"As Ukrainians come under attack, we take strength from their courage.
 
Tonight, let's reflect on what it means to live in a society where elected leaders still settle disagreements with civility and compromise.
 
Our democracy's strength reflects the people we represent."
52,"I’m about to take the podium for my fourth State of the State address. 
 
Tune in! ⬇️⬇️ https://t.co/jpGIyStSa5"
53,"RT @CAgovernor: TONIGHT: Governor @GavinNewsom delivers his State of the State address.

Watch live at 5:00PM

YouTube: https://t.co/ZERFlp…"
54,"NEW: More support for Ukraine coming from California. 

I’m ordering state agencies &amp; departments to end contracts with anyone subject to US government sanctions on Russia.

We are also calling on California companies to stop new investments &amp; sharing technology with Russia."
55,"CA is taking a major step forward to support mental health and fight homelessness.

Care Court is a better way of getting people the mental health help they need.
 
It’s court-ordered services, drug treatment, and housing with compassion.

This is big. 
https://t.co/LE9GoLLc6W"
56,Tune in now. https://t.co/7QBjcKa4lL
57,RT @CAgovernor: TUNE IN: Governor @GavinNewsom will unveil a new framework to care for Californians struggling with severe behavioral healt…
58,"With @POTUS joining California in the fight to take on irresponsible gun manufacturers, we will hold them accountable and save lives.

Their greed has helped fuel countless deaths. https://t.co/uchxQvAGlb"
59,"What a vision tonight.

A President standing up to Russia and leading the world through crisis.

Backed by two incredible California women leaders.

Elections matter."
60,"Today, I called on the state’s retirement funds to restrict Russia’s access to nearly $1 trillion of California’s global investment portfolio. 

Everyone has to put skin in the game."
61,"Another senseless act of gun violence in America - this time in our backyard. In a church with kids inside. Absolutely devastating. 

Our hearts go out to the victims, their families and their communities. 

We are working closely with local law enforcement."
62,"Richard Blum lived an extraordinary life, &amp; he left this world better than he found it – lifting up communities &amp; helping connect people from across the globe. He was a model Californian, serving wholeheartedly as a UC Regent. Our hearts are with Senator Feinstein &amp; his family."
63,RT @CAgovernor: California stands with the people of Ukraine. 🇺🇦 https://t.co/DPLo3nBcXr
64,RT @eqca: BREAKING: #Transgender Palm Springs Mayor @LisaMiddletonCA delivers a powerful rebuke of @GregAbbott_TX at tonight's city council…
65,"California is standing with the people of Ukraine tonight.

Russia is embarking on an unprovoked attack - an armed attempt to overthrow a sitting democracy.

There must be consequences."
66,"Trans kids and their families should be celebrated - not targeted by the state! 

They are heroes. This order is a direct assault on their wellbeing. 

To fearful families in Texas right now - California’s door is always open to you. 
https://t.co/cKt5OFgFtR"
67,"One year into his term, Senator Alex Padilla is doing all of California proud. https://t.co/dEmRCuCORf"
68,"Thank you, @POTUS!

Lithium Valley could be a huge game changer for the world in the fight against climate change.

This is what a clean energy economy is all about - creating good jobs, advancing economic justice, and manufacturing climate solutions - right here in California. https://t.co/l067sDXdpu"
69,"RT @CAgovernor: LIVE NOW: Governor @GavinNewsom joins @POTUS and industry, community, and labor leaders to highlight opportunities to produ…"
70,"RT @CAgovernor: TUNE IN: Governor @GavinNewsom joins @POTUS and industry, community and labor leaders in a virtual event to highlight oppor…"
71,"This is nothing short of a state-sponsored intimidation of LGBTQ children.

It will put kids - who are already navigating stress - in physical and psychological danger. 

For the sake of these kids, don't do this Florida. 
https://t.co/FY5BvEfW0P"
72,"Homekey has already helped more than 8,000 people off the streets - and not just in big, urban areas. 

This Homekey hotel in Crescent City will address 17% of Del Norte’s homeless population.

We are laser focused on solutions to CA’s homelessness crisis. https://t.co/A597Ixgeb9"
73,RT @CAgovernor: We can’t let a lawsuit get in the way of the education and dreams of thousands of students who are our future leaders and i…
74,"Gun industry greed has fueled the gun violence epidemic.

We are unveiling new tools to hold gun manufacturers accountable for the deaths their products cause.

Nearly every industry is held liable when people are hurt or killed by their products - guns should be no different."
75,RT @ASlavitt: Thanks to Governor ⁦@GavinNewsom⁩  for leading the state of California to be prepared for whatever comes next in the pandemic…
76,Tune in now! https://t.co/L2QDHIPBep
77,"What we’ve done works. Lives were saved. Businesses &amp; schools remain open.

As case rates decline, we must be humble. We don’t know what COVID may bring but we’ve learned a lot.

With SMARTER, we are prepared without being paranoid about how to move forward in a world with COVID."
78,"CA has led the fight against COVID.

We acted fast to deliver more shots, tests &amp; PPE than any other state. 

- 70M doses administered
- 1.6B pieces of PPE distributed 
- Billions in direct relief for businesses &amp; those hardest hit by the pandemic"
79,"NEW: The next phase of California’s COVID-19 response is here. 

The SMARTER Plan focuses on what works, based on lessons learned from the last 2 years - 

Shots
Masks
Awareness
Readiness
Testing
Education
Rx treatments"
80,"This is VILE. 

A skull &amp; crossbones with a pacifier on weapon of war. 

Made to look “cute” to appeal to kids. 

The manufacturer calls this a “JR-15.”

Every NRA-backed politician should condemn this. https://t.co/VmsqaiCuEM"
81,"I’m proud to nominate Justice Patricia Guerrero to be the first Latina Justice on the California Supreme Court.

Her story is what CA is all about:

Brilliant, accomplished &amp; widely respected.

The daughter of immigrants &amp; raised in the Imperial Valley. https://t.co/46pPQvhxkr"
82,RT @JenSiebelNewsom: Our hearts will forever be with these young souls and their families — and their memory will only strengthen our resol…
83,"Happy Valentine’s Day, @JenSiebelNewsom. Life is always better with you and the kids by my side. ❤️ https://t.co/hFfVIgjz7b"
